Variable,Study Region,Contractor,2025,2030,2035,2040,2045,Notes
Potable Reuse for Multiple Dry Years (acre-feet/year),San Francisco Bay Area,Alameda County Water District,3,3,3,3,3,
Potable Reuse for Multiple Dry Years (acre-feet/year),San Francisco Bay Area,Contra Costa Water District,3,3,3,3,3,
Potable Reuse for Multiple Dry Years (acre-feet/year),San Francisco Bay Area,East Bay Municipal Utilities District,3,3,3,3,3,
Potable Reuse for Multiple Dry Years (acre-feet/year),San Francisco Bay Area,"San Benito County Water District, Zone 6",3,3,3,3,3,
Potable Reuse for Multiple Dry Years (acre-feet/year),San Francisco Bay Area,Santa Clara Valley Water District,3,3,3,3,3,
Potable Reuse for Multiple Dry Years (acre-feet/year),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,3,3,3,3,3,
Potable Reuse for Multiple Dry Years (acre-feet/year),Central Coast,Santa Barbara County Flood Control & Water Conservation District,3,3,3,3,3,
Potable Reuse for Multiple Dry Years (acre-feet/year),Southern California,Antelope Valley-East Kern Water Agency,3,3,3,3,3,
Potable Reuse for Multiple Dry Years (acre-feet/year),Southern California,Santa Clarita Water Division,3,3,3,3,3,
Potable Reuse for Multiple Dry Years (acre-feet/year),Southern California,Coachella Valley Water District,3,3,3,3,3,
Potable Reuse for Multiple Dry Years (acre-feet/year),Southern California,Crestline-Lake Arrowhead Water Agency,3,3,3,3,3,
Potable Reuse for Multiple Dry Years (acre-feet/year),Southern California,Desert Water Agency,3,3,3,3,3,
Potable Reuse for Multiple Dry Years (acre-feet/year),Southern California,Metropolitan Water District of Southern California,3,3,3,3,3,
Potable Reuse for Multiple Dry Years (acre-feet/year),Southern California,Mojave Water Agency,3,3,3,3,3,
Potable Reuse for Multiple Dry Years (acre-feet/year),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,3,3,3,3,3,
Potable Reuse for Multiple Dry Years (acre-feet/year),Southern California,San Bernardino Valley Municipal Water District,3,3,3,3,3,
Potable Reuse for Multiple Dry Years (acre-feet/year),Southern California,San Gabriel Valley Municipal Water District,3,3,3,3,3,
Potable Reuse for Multiple Dry Years (acre-feet/year),Southern California,San Gorgonio Pass Water Agency,3,3,3,3,3,
Potable Reuse for Multiple Dry Years (acre-feet/year),Southern California,Ventura County Watershed Protection District,3,3,3,3,3,
Desalination for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,City of Folsom,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,City of Redding,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,City of Roseville,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,City of West Sacramento,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,Yuba City,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,El Dorado Irrigation District,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,Placer County Water Agency,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,Sacramento County Water Agency,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,San Juan Water District,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,Shasta Contractors,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,Solano County Water Agency,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Avenal,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Coalinga,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Fresno,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Huron,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Lindsay,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Orange Cove,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Tracy,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,Kern County Water Agency,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,Stockton-East Water District,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),San Francisco Bay Area,Alameda County Water District,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),San Francisco Bay Area,Contra Costa Water District,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),San Francisco Bay Area,East Bay Municipal Utilities District,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),San Francisco Bay Area,"San Benito County Water District, Zone 6",1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),San Francisco Bay Area,Santa Clara Valley Water District,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Central Coast,Santa Barbara County Flood Control & Water Conservation District,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Southern California,Antelope Valley-East Kern Water Agency,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Southern California,Santa Clarita Water Division,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Southern California,Coachella Valley Water District,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Southern California,Crestline-Lake Arrowhead Water Agency,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Southern California,Desert Water Agency,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Southern California,Metropolitan Water District of Southern California,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Southern California,Mojave Water Agency,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Southern California,San Bernardino Valley Municipal Water District,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Southern California,San Gabriel Valley Municipal Water District,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Southern California,San Gorgonio Pass Water Agency,1,1,1,1,1,
Desalination for Normal or Better Years (acre-feet/year),Southern California,Ventura County Watershed Protection District,1,1,1,1,1,
Desalination for Single Dry Years (acre-feet/year),Central Valley - Sacramento Valley,City of Folsom,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Central Valley - Sacramento Valley,City of Redding,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Central Valley - Sacramento Valley,City of Roseville,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Central Valley - Sacramento Valley,City of West Sacramento,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Central Valley - Sacramento Valley,Yuba City,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Central Valley - Sacramento Valley,El Dorado Irrigation District,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Central Valley - Sacramento Valley,Placer County Water Agency,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Central Valley - Sacramento Valley,Sacramento County Water Agency,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Central Valley - Sacramento Valley,San Juan Water District,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Central Valley - Sacramento Valley,Shasta Contractors,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Central Valley - Sacramento Valley,Solano County Water Agency,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Avenal,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Coalinga,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Fresno,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Huron,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Lindsay,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Orange Cove,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Tracy,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,Kern County Water Agency,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,Stockton-East Water District,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),San Francisco Bay Area,Alameda County Water District,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),San Francisco Bay Area,Contra Costa Water District,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),San Francisco Bay Area,East Bay Municipal Utilities District,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),San Francisco Bay Area,"San Benito County Water District, Zone 6",2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),San Francisco Bay Area,Santa Clara Valley Water District,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Central Coast,Santa Barbara County Flood Control & Water Conservation District,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Southern California,Antelope Valley-East Kern Water Agency,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Southern California,Santa Clarita Water Division,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Southern California,Coachella Valley Water District,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Southern California,Crestline-Lake Arrowhead Water Agency,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Southern California,Desert Water Agency,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Southern California,Metropolitan Water District of Southern California,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Southern California,Mojave Water Agency,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Southern California,San Bernardino Valley Municipal Water District,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Southern California,San Gabriel Valley Municipal Water District,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Southern California,San Gorgonio Pass Water Agency,2,2,2,2,2,
Desalination for Single Dry Years (acre-feet/year),Southern California,Ventura County Watershed Protection District,2,2,2,2,2,
Desalination for Multiple Dry Years (acre-feet/year),Central Valley - Sacramento Valley,City of Folsom,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Central Valley - Sacramento Valley,City of Redding,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Central Valley - Sacramento Valley,City of Roseville,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Central Valley - Sacramento Valley,City of West Sacramento,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Central Valley - Sacramento Valley,Yuba City,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Central Valley - Sacramento Valley,El Dorado Irrigation District,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Central Valley - Sacramento Valley,Placer County Water Agency,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Central Valley - Sacramento Valley,Sacramento County Water Agency,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Central Valley - Sacramento Valley,San Juan Water District,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Central Valley - Sacramento Valley,Shasta Contractors,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Central Valley - Sacramento Valley,Solano County Water Agency,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Avenal,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Coalinga,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Fresno,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Huron,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Lindsay,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Orange Cove,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Tracy,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,Kern County Water Agency,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,Stockton-East Water District,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),San Francisco Bay Area,Alameda County Water District,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),San Francisco Bay Area,Contra Costa Water District,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),San Francisco Bay Area,East Bay Municipal Utilities District,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),San Francisco Bay Area,"San Benito County Water District, Zone 6",3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),San Francisco Bay Area,Santa Clara Valley Water District,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Central Coast,Santa Barbara County Flood Control & Water Conservation District,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Southern California,Antelope Valley-East Kern Water Agency,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Southern California,Santa Clarita Water Division,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Southern California,Coachella Valley Water District,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Southern California,Crestline-Lake Arrowhead Water Agency,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Southern California,Desert Water Agency,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Southern California,Metropolitan Water District of Southern California,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Southern California,Mojave Water Agency,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Southern California,San Bernardino Valley Municipal Water District,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Southern California,San Gabriel Valley Municipal Water District,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Southern California,San Gorgonio Pass Water Agency,3,3,3,3,3,
Desalination for Multiple Dry Years (acre-feet/year),Southern California,Ventura County Watershed Protection District,3,3,3,3,3,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,City of Folsom,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,City of Redding,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,City of Roseville,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,City of West Sacramento,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,Yuba City,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,El Dorado Irrigation District,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,Placer County Water Agency,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,Sacramento County Water Agency,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,San Juan Water District,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,Shasta Contractors,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Central Valley - Sacramento Valley,Solano County Water Agency,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Avenal,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Coalinga,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Fresno,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Huron,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Lindsay,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Orange Cove,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Tracy,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,Kern County Water Agency,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Central Valley - San Joaquin Valley,Stockton-East Water District,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),San Francisco Bay Area,Alameda County Water District,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),San Francisco Bay Area,Contra Costa Water District,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),San Francisco Bay Area,East Bay Municipal Utilities District,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),San Francisco Bay Area,"San Benito County Water District, Zone 6",1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),San Francisco Bay Area,Santa Clara Valley Water District,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Central Coast,Santa Barbara County Flood Control & Water Conservation District,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Southern California,Antelope Valley-East Kern Water Agency,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Southern California,Santa Clarita Water Division,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Southern California,Coachella Valley Water District,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Southern California,Crestline-Lake Arrowhead Water Agency,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Southern California,Desert Water Agency,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Southern California,Metropolitan Water District of Southern California,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Southern California,Mojave Water Agency,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Southern California,San Bernardino Valley Municipal Water District,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Southern California,San Gabriel Valley Municipal Water District,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Southern California,San Gorgonio Pass Water Agency,1,1,1,1,1,
Transfers and Exchanges for Normal or Better Years (acre-feet/year),Southern California,Ventura County Watershed Protection District,1,1,1,1,1,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Central Valley - Sacramento Valley,City of Folsom,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Central Valley - Sacramento Valley,City of Redding,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Central Valley - Sacramento Valley,City of Roseville,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Central Valley - Sacramento Valley,City of West Sacramento,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Central Valley - Sacramento Valley,Yuba City,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Central Valley - Sacramento Valley,El Dorado Irrigation District,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Central Valley - Sacramento Valley,Placer County Water Agency,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Central Valley - Sacramento Valley,Sacramento County Water Agency,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Central Valley - Sacramento Valley,San Juan Water District,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Central Valley - Sacramento Valley,Shasta Contractors,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Central Valley - Sacramento Valley,Solano County Water Agency,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Avenal,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Coalinga,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Fresno,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Huron,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Lindsay,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Orange Cove,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,City of Tracy,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,Kern County Water Agency,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,Other Friant-Kern M&I Contractors,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Central Valley - San Joaquin Valley,Stockton-East Water District,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),San Francisco Bay Area,"Alameda County Flood Control and Water Conservation District, Zone 7",2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),San Francisco Bay Area,Alameda County Water District,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),San Francisco Bay Area,Contra Costa Water District,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),San Francisco Bay Area,East Bay Municipal Utilities District,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),San Francisco Bay Area,"San Benito County Water District, Zone 6",2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),San Francisco Bay Area,Santa Clara Valley Water District,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Central Coast,San Luis Obispo County Flood Control & Water Conservation District,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Central Coast,Santa Barbara County Flood Control & Water Conservation District,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Southern California,Antelope Valley-East Kern Water Agency,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Southern California,Santa Clarita Water Division,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Southern California,Coachella Valley Water District,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Southern California,Crestline-Lake Arrowhead Water Agency,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Southern California,Desert Water Agency,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Southern California,Metropolitan Water District of Southern California,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Southern California,Mojave Water Agency,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Southern California,Palmdale Water District & Littlerock Creek Irrigation District,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Southern California,San Bernardino Valley Municipal Water District,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Southern California,San Gabriel Valley Municipal Water District,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Southern California,San Gorgonio Pass Water Agency,2,2,2,2,2,
Transfers and Exchanges for Single Dry Years (acre-feet/year),Southern California,Ventura County Watershed Protection District,2,2,2,2,2,
Transfers and Exchanges for Multiple Dry Years (acre-feet/year),Central Valley - Sacramento Valley,City of Folsom,3,3,3,3,3,
Transfers and Exchanges for Multiple Dry Years (acre-feet/year),Central Valley - Sacramento Valley,City of Redding,3,3,3,3,3,
Transfers and Exchanges for Multiple Dry Years (acre-feet/year),Central Valley - Sacramento Valley,City of Roseville,3,3,3,3,3,
Transfers and Exchanges for Multiple Dry Years (acre-feet/year),Central Valley - Sacramento Valley,City of West Sacramento,3,3,3,3,3,
Transfers and Exchanges for Multiple Dry Years (acre-feet/year),Central Valley - Sacramento Valley,Yuba City,3,3,3,3,3,
Transfers and Exchanges for Multiple Dry Years (acre-feet/year),Central Valley - Sacramento Valley,El Dorado Irrigation District,3,3,3,3,3,
Transfers and Exchanges for Multiple Dry Years (acre-feet/year),Central Valley - Sacramento Valley,Napa County Flood Control & Water Conservation District,3,3,3,3,3,
